Question,Answer,Category,Keyword
Hi,"Hello! Welcome to Namibian Time. How can I assist you today?",general,friendly_opening
Good morning,"Good morning! How can I help you today?",general,time_based_greeting
Whore are you?,"I am Eva Geises! Developed by Science Techniz",general,who_are_you
What about legal assistance?,"Contact embassy if arrested or in legal trouble.",practical,legal
What about travel insurance claims?,"Keep all documentation and receipts.",practical,insurance
What about lost passport?,"Contact embassy immediately.",practical,documents
What about stolen cards?,"Contact bank immediately to cancel.",practical,money
What about ambulance service?,"In cities, limited in remote areas.",practical,health
What about emergency numbers?,"10111 for police, 2032276 for ambulance in Windhoek.",practical,emergency
What about bilharzia?,"Risk in some northern rivers. Avoid swimming in stagnant water.",practical,health
What about rabies?,"Risk from dogs and wildlife. Avoid contact with animals.",practical,health
What about other health regulations?,"Standard travel health advice applies.",practical,health
What about water safety?,"Bottled water recommended, especially in remote areas.",practical,health
What about Namibian food?,"Namibian food is a meat-centric cuisine, some key staples include kapana (grilled street meat), biltong (dried, spiced meat), potjiekos (slow-cooked stew), and mahangu (pearl millet) porridge.",food,cuisine
What about insect protection?,"Mosquito nets and repellent in north during rainy season.",practical,health
What about scenic flights?,"Great way to see dunes, coast, and remote areas.",tourism,activities
What about boat tours?,"In Swakopmund, Walvis Bay (dolphin and seal tours), and Caprivi river safaris.",tourism,activities
What about speed limits?,"120km/h on highways, 60km/h in towns, 80km/h on gravel roads (but often drive slower).",practical,transport
What are traffic police like?,"Generally professional. Speeding fines common.",practical,transport
What if stopped by police?,"Be polite, show license and rental documents. Ask for receipt if fined.",practical,transport
What about bribes?,"Illegal. Don't offer, and report if requested.",practical,transport
What about road conditions?,"Main roads good, gravel roads vary from good to rough. 4x4 needed for some areas.",practical,transport
What about road signs?,"Good on main roads, limited in remote areas. GPS essential.",practical,transport
What about fuel stations?,"In all towns, some remote stations far apart. Fill up when possible.",practical,transport
What about personal effects?,"Temporary import for duration of stay generally allowed.",practical,customs
What if staying long-term?,"May need different visa and import procedures.",practical,customs
What about importing a vehicle?,"Temporary import possible with carnet de passage or deposit.",practical,customs
How long can I keep vehicle?,"Typically matches visa duration, extendable.",practical,customs
What about selling vehicle?,"Not allowed on tourist visa. Complex process requiring export.",practical,customs
What about buying vehicle locally?,"Possible but need to export when leaving or pay high duty.",practical,customs
What about rental vehicles?,"Easier - included in rental agreement with proper documentation.",practical,transport
What are rental requirements?,"Valid license (international recommended), credit card, minimum age 23-25.",practical,transport
What insurance for rental?,"Collision damage waiver, theft protection, third party liability essential.",practical,transport
What should I pack?,"Layers, sun protection, comfortable shoes, adapters, medications, copies of documents.",practical,packing
What shouldn't I pack?,"Valuables not needed, illegal items, offensive clothing, single-use plastics (banned in parks).",practical,packing
What about prohibited items in Namibia?,"Drugs, weapons without permit, pornographic material, endangered species products.",practical,customs
What about restricted items?,"Drones, satellite phones, certain medications, plants, large amounts of cash.",practical,customs
What about duty-free allowances?,"As mentioned earlier: alcohol, tobacco, perfume within limits.",practical,customs
What if I exceed allowances?,"Declare and pay duty or risk confiscation and fine.",practical,customs
How to calculate duty?,"Based on value and type of goods. Customs officer determines.",practical,customs
What are passenger rights?,"Limited compared to EU/US. Check airline's conditions of carriage.",practical,airport
What about compensation?,"For significant delays or cancellations within airline's control.",practical,airport
How to complain?,"To airline first, then Namibia Civil Aviation Authority if unresolved.",practical,airport
What about overbooking?,"Airlines seek volunteers for later flight with compensation.",practical,airport
What if bumped involuntarily?,"Compensation required by some airlines' policies.",practical,airport
What are luggage allowances?,"Typically 20kg checked, 7kg carry-on for economy. Check with airline.",practical,airport
What about excess baggage?,"Expensive - NAD100-200 per kg over limit.",practical,airport
What about sports equipment?,"May count as checked baggage or have special fee.",practical,airport
What about musical instruments?,"May require extra seat if large.",practical,airport
What about fragile items?,"Pack well. Airlines have limited liability.",practical,airport
What about valuable items?,"Carry in hand luggage. Airlines have limited liability for valuables in checked bags.",practical,airport
What about lost/damaged luggage?,"Report immediately. Airlines have compensation limits.",practical,airport
How to track lost luggage?,"Through airline's lost baggage department.",practical,airport
What insurance covers luggage?,"Travel insurance should cover loss/delay.",practical,insurance
What about luggage delay?,"Airlines may provide essentials kit. Keep receipts for necessary purchases.",practical,airport
How long to find lost luggage?,"Usually 1-3 days if still in system.",practical,airport
What if never found?,"File claim with airline and travel insurance.",practical,insurance
What documentation needed?,"Baggage tag, boarding pass, description of bag and contents.",practical,airport
What compensation amounts?,"Limited by airline policy and international agreements.",practical,airport
What about sentimental items?,"Irreplaceable. Better to carry with you.",practical,airport
What are baggage tips?,"Use distinctive tags, take photo of bag and contents, pack essentials in carry-on.",practical,airport
What about luggage locks?,"TSA-approved if traveling via USA. Otherwise regular locks okay.",practical,airport
Can I ship purchases home?,"Yes, through post office or private couriers. Insurance recommended.",practical,shopping
What are shipping costs?,"Expensive for large items. Consider excess baggage on flight instead.",practical,shopping
How long does shipping take?,"2-4 weeks to Europe/North America by sea, 1-2 weeks by air (expensive).",practical,shopping
What about import tax at home?,"Check your country's regulations. May have to pay duty on expensive items.",practical,customs
How do I insure shipments?,"Through shipping company or separate insurance. Document items well.",practical,shopping
What if items get lost?,"Use tracked shipping, keep receipts, and insure valuable items.",practical,shopping
Can I buy and ship a vehicle?,"Possible but complex with import/export paperwork and substantial costs.",practical,transport
What about buying property?,"Foreigners can buy property but with certain restrictions. Get legal advice.",practical,real_estate
Can I invest in Namibia?,"Yes, with government approval for certain sectors. Good opportunities in tourism, renewable energy.",economy,investment
What are investment incentives?,"Tax breaks, export processing zones, and support for certain industries.",economy,investment
How is the stock market?,"Namibia Stock Exchange (NSX) small but growing. Some dual-listed with Johannesburg.",economy,investment
Can foreigners buy stocks?,"Yes, through licensed brokers. Some restrictions may apply.",economy,investment
What about mutual funds?,"Available through banks and investment companies.",economy,investment
What about cryptocurrency?,"Not widely accepted. Traditional banking preferred.",economy,investment
What are banking options?,"Local and South African banks. Accounts for foreigners possible with proper documentation.",economy,banking
Can I open a bank account?,"Yes with passport, proof of address, and sometimes proof of income.",economy,banking
What are interest rates?,"Similar to South Africa. Savings accounts 3-5%, loans higher.",economy,banking
What about money transfers?,"SWIFT transfers possible but can be slow and expensive.",economy,banking
Are there Western Union?,"Yes in major towns for money transfers.",economy,banking
What about PayPal?,"Limited use. Not all businesses accept.",economy,banking
What are tax rates?,"Progressive income tax up to 37%, corporate tax 32%, VAT 15%.",economy,tax
Do tourists pay tax?,"VAT included in prices. Can potentially claim back on some exports.",economy,tax
How do I claim VAT back?,"For large purchases from registered vendors, keep receipts and forms.",economy,tax
What are duty-free limits?,"Standard allowances for personal use. Commercial quantities taxed.",practical,customs
What about alcohol limits?,"1 liter spirits, 2 liters wine, reasonable beer amount for personal consumption.",practical,customs
What about cigarette limits?,"400 cigarettes, 50 cigars, 250g tobacco.",practical,customs
What about perfume limits?,"Reasonable amount for personal use.",practical,customs
What about gift limits?,"NAD500 value for gifts without tax. Above that may be taxed.",practical,customs
